id;temp;clutch
pau01;2014;2
pau01;2016;2
pau04;2014;3
pau04;2016;3
pau04;2017;3
pau04;2018;2
pau04;2019;3
pau05;2014;1
pau05;2016;2
pau05;2018;2
pau08;2014;1
pau08;2016;2
pau08;2018;1
pau08;2019;2
pau09;2014;3
pau09;2016;3
pau09;2017;3
pau09;2018;2
pau09;2019;3
pau10;2014;2
pau10;2016;2
pau10;2017;2
pau10;2018;1
pau10;2019;2
pau11;2014;1
pau13;2014;2
pau13;2016;2
pau13;2017;1
pau13;2018;1
pau13;2019;2
pau14;2014;1
pau14;2016;1
pau14;2017;2
pau14;2018;1
pau19;2014;3
pau20;2014;2
pau20;2016;2
pau20;2017;2
pau20;2019;2
pau22;2016;2
pau22;2017;2
pau22;2018;2
pau22;2019;2
pau23;2016;2
pau23;2017;3
pau23;2018;2
pau23;2019;2
pau27;2016;2
pau27;2018;2
pau29;2017;2
pau32;2017;3
pau32;2018;2
pau33;2017;2
pau34;2017;2
pau35;2017;2
pau35;2018;2
pau37;2019;1
pau09;2020;2
pau10;2020;2
pau22;2020;2
pau13;2020;2
