id;temp;active;reoccup;exito;prod;brood;dist.PPA;area.ppa.voronoi;area.voronoi.miles;area.ppa.circulo;area.circulo.miles;nndist;elevacion;slope;aspect
Pau 01 ;2014;1;;1;2;2;177.13;639.9222744;0.639922274;1;0.001;323;56.93877551;14.1720234;187.57
Pau 01 ;2015;0;0;;;;177.13;;0;1;0.001;;56.93877551;14.1720234;187.57
Pau 01 ;2016;1;1;0;0;;177.13;639.9222744;0.639922274;1;0.001;323;56.93877551;14.1720234;187.57
Pau 01;2017;0;0;;;;177.13;;0;1;0.001;190;56.93877551;14.1720234;187.57
Pau 01;2018;0;0;;;;177.13;;0;1;0.001;387;56.93877551;14.1720234;187.57
Pau 01;2019;0;0;;;;177.13;;0;1;0.001;323;56.93877551;14.1720234;187.57
Pau 04 ;2014;1;;1;2;2;23.55;11724.78087;11.72478087;5299.287479;5.299287479;637;101.7058824;9.875009848;266.16
Pau 04 ;2015;1;1;;;;23.55;;0;5299.287479;5.299287479;;101.7058824;9.875009848;266.16
Pau 04;2016;1;1;0;0;;23.55;11724.78087;11.72478087;5299.287479;5.299287479;642;101.7058824;9.875009848;266.16
Pau 04;2017;1;1;1;1;1;23.55;8693.564422;8.693564422;5299.287479;5.299287479;118;101.7058824;9.875009848;266.16
Pau 04;2018;1;1;0;0;;23.55;8693.564347;8.693564347;5299.287479;5.299287479;118;101.7058824;9.875009848;266.16
Pau 04;2019;1;1;1;2;2;23.55;8693.564347;8.693564347;5299.287479;5.299287479;;101.7058824;9.875009848;266.16
Pau 05 ;2014;1;;1;1;1;20.86;7089.387911;7.089387911;6359.30712;6.35930712;263;83;19.03249186;230.48
Pau 05 ;2015;;;;;;;;0;6359.30712;6.35930712;;83;19.03249186;230.48
Pau 05;2016;1;1;1;1;1;20.86;6534.743874;6.534743874;6359.30712;6.35930712;263;83;19.03249186;230.48
Pau 05;2017;0;0;;;;20.86;;0;6359.30712;6.35930712;255;83;19.03249186;230.48
Pau 05;2018;1;1;0;0;;20.86;24979.67391;24.97967391;6359.30712;6.35930712;964;83;19.03249186;230.48
Pau 05;2019;1;1;0;0;;20.86;24979.67391;24.97967391;6359.30712;6.35930712;263;83;19.03249186;230.48
Pau 08;2014;1;;1;1;1;0;23698.98521;23.69898521;6073.577199;6.073577199;497;83.76595745;11.17718725;312.01
Pau 08;2015;;;;;;;;0;6073.577199;6.073577199;;83.76595745;11.17718725;312.01
Pau 08;2016;1;1;1;2;2;0;23698.98522;23.69898522;6073.577199;6.073577199;435;83.76595745;11.17718725;312.01
Pau 08;2017;0;0;;;;0;;;6073.577199;6.073577199;482;83.76595745;11.17718725;312.01
Pau 08;2018;1;1;1;1;1;0;11128.74028;11.12874028;6073.577199;6.073577199;435;83.76595745;11.17718725;312.01
Pau 08;2019;1;1;1;2;2;0;11128.74025;11.12874025;6073.577199;6.073577199;435;83.76595745;11.17718725;312.01
Pau 09;2014;1;;1;3;3;20.54;28396.15794;28.39615794;8183.993282;8.183993282;463;91.98039216;8.918828764;234.38
Pau 09;2015;1;1;;;;20.54;;;8183.993282;8.183993282;;91.98039216;8.918828764;234.38
Pau 09;2016;1;1;1;3;3;20.54;5781.645099;5.781645099;8183.993282;8.183993282;119;91.98039216;8.918828764;234.38
Pau 09;2017;1;1;1;3;3;20.54;9304.923304;9.304923304;8183.993282;8.183993282;119;91.98039216;8.918828764;234.38
Pau 09;2018;1;1;1;2;2;20.54;5781.645099;5.781645099;8183.993282;8.183993282;119;91.98039216;8.918828764;234.38
Pau 09;2019;1;1;1;2;2;20.54;10607.13716;10.60713716;8183.993282;8.183993282;;91.98039216;8.918828764;234.38
Pau 09;2020;1;1;1;1;1;20.54;;;8183.993282;8.183993282;;91.98039216;8.918828764;234.38
Pau 10;2014;1;;1;1;1;0;16745.0277;16.7450277;10631.22931;10.63122931;463;62.66666667;7.700265565;252.23
Pau 10;2015;1;1;;;;0;;;10631.22931;10.63122931;;62.66666667;7.700265565;252.23
Pau 10;2016;1;1;1;2;2;0;14355.77038;14.35577038;10631.22931;10.63122931;221;62.66666667;7.700265565;252.23
Pau 10;2017;1;1;1;2;2;0;799.9081238;0.799908124;10631.22931;10.63122931;31;62.66666667;7.700265565;252.23
Pau 10;2018;1;1;1;1;1;0;14355.77038;14.35577038;10631.22931;10.63122931;221;62.66666667;7.700265565;252.23
Pau 10;2019;1;1;1;1;1;0;16745.02761;16.74502761;10631.22931;10.63122931;;62.66666667;7.700265565;252.23
Pau 10;2020;1;1;;;;;;;10631.22931;10.63122931;;62.66666667;7.700265565;252.23
Pau 11;2014;1;;0;0;;104.68;1;0.001;1390.82163;1.39082163;50;38.58;25.65410064;234.17
Pau 11;2015;;;;;;;;;1390.82163;1.39082163;;38.58;25.65410064;234.17
Pau 11;2016;0;0;;;;104.68;;;1390.82163;1.39082163;50;38.58;25.65410064;234.17
Pau 11;2017;1;1;;;;104.68;;;1390.82163;1.39082163;60;38.58;25.65410064;234.17
Pau 11;2018;;;;;;;;;1390.82163;1.39082163;;38.58;25.65410064;234.17
Pau 11;2019;0;0;;;;104.68;;;1390.82163;1.39082163;;38.58;25.65410064;234.17
Pau 12;2014;1;;;;;108.08;;;2546.569214;2.546569214;;43.69387755;22.29646795;227.2
Pau 12;2015;;;;;;;;;2546.569214;2.546569214;;43.69387755;22.29646795;227.2
Pau 12;2016;1;1;;;;108.08;;;2546.569214;2.546569214;32;43.69387755;22.29646795;227.2
Pau 12;2017;0;0;;;;108.08;;;2546.569214;2.546569214;32;43.69387755;22.29646795;227.2
Pau 12;2018;1;1;;;;108.08;1;0.001;2546.569214;2.546569214;32;43.69387755;22.29646795;227.2
Pau 12;2019;1;1;;;;108.08;1;0.001;2546.569214;2.546569214;;43.69387755;22.29646795;227.2
Pau 13;2014;1;;0;0;;79.77;1540.207537;1.540207537;4218.463091;4.218463091;32;42.91666667;27.13006105;210.36
Pau 13;2015;;;;;;;;;4218.463091;4.218463091;;42.91666667;27.13006105;210.36
Pau 13;2016;1;1;1;2;2;79.77;1540.207537;1.540207537;4218.463091;4.218463091;32;42.91666667;27.13006105;210.36
Pau 13;2017;1;1;0;0;;79.77;1540.207537;1.540207537;4218.463091;4.218463091;60;42.91666667;27.13006105;210.36
Pau 13;2018;1;1;1;1;1;79.77;1540.207549;1.540207549;4218.463091;4.218463091;32;42.91666667;27.13006105;210.36
Pau 13;2019;1;1;1;2;2;79.77;5430.397313;5.430397313;4218.463091;4.218463091;;42.91666667;27.13006105;210.36
Pau 13;2020;1;1;1;2;2;79.77;;;4218.463091;4.218463091;;42.91666667;27.13006105;210.36
Pau 14;2014;1;;0;0;;29.37;3890.189776;3.890189776;4061.89415;4.06189415;133;60.96;22.07381838;219.71
