id;temp;occup;dist.PPA;cliff;slope
Pau 01 ;2015;0;177.13;1;14.1720234
Pau 01 ;2016;1;177.13;1;14.1720234
Pau 01;2017;0;177.13;1;14.1720234
Pau 01;2018;0;177.13;1;14.1720234
Pau 01;2019;0;177.13;1;14.1720234
Pau 04 ;2015;1;23.55;1;9.875009848
Pau 04;2016;1;23.55;1;9.875009848
Pau 04;2017;1;23.55;1;9.875009848
Pau 04;2018;1;23.55;1;9.875009848
Pau 04;2019;1;23.55;1;9.875009848
Pau 05;2016;1;20.86;0;19.03249186
Pau 05;2017;0;20.86;0;19.03249186
Pau 05;2018;1;20.86;0;19.03249186
Pau 05;2019;1;20.86;0;19.03249186
Pau 08;2016;1;0;0;11.17718725
Pau 08;2017;0;0;0;11.17718725
Pau 08;2018;1;0;0;11.17718725
Pau 08;2019;1;0;0;11.17718725
Pau 09;2015;1;20.54;0;8.918828764
Pau 09;2016;1;20.54;0;8.918828764
Pau 09;2017;1;20.54;0;8.918828764
Pau 09;2018;1;20.54;0;8.918828764
Pau 09;2019;1;20.54;0;8.918828764
Pau 10;2015;1;0;0;7.700265565
Pau 10;2016;1;0;0;7.700265565
Pau 10;2017;1;0;0;7.700265565
Pau 10;2018;1;0;0;7.700265565
Pau 10;2019;1;0;0;7.700265565
Pau 11;2016;0;104.68;0;25.65410064
Pau 11;2017;1;104.68;0;25.65410064
Pau 11;2019;0;104.68;0;25.65410064
Pau 12;2016;1;108.08;1;22.29646795
Pau 12;2017;0;108.08;1;22.29646795
Pau 12;2018;1;108.08;1;22.29646795
Pau 12;2019;1;108.08;1;22.29646795
Pau 13;2016;1;79.77;0;27.13006105
Pau 13;2017;1;79.77;0;27.13006105
Pau 13;2018;1;79.77;0;27.13006105
Pau 13;2019;1;79.77;0;27.13006105
Pau 14;2016;1;29.37;0;22.07381838
Pau 14;2017;1;29.37;0;22.07381838
Pau 14;2018;1;29.37;0;22.07381838
Pau 14;2019;0;29.37;0;22.07381838
Pau 19;2015;0;43.11;1;22.96789278
Pau 19;2016;1;43.11;1;22.96789278
Pau 19;2017;1;43.11;1;22.96789278
Pau 20;2015;0;0;0;10.42702373
Pau 20;2016;1;0;0;10.42702373
Pau 20;2017;1;0;0;10.42702373
Pau 20;2018;0;0;0;10.42702373
Pau 20;2019;1;0;0;10.42702373
Pau 22;2017;1;6;0;10.48681015
Pau 22;2018;1;6;0;10.48681015
Pau 22;2019;1;6;0;10.48681015
Pau 23;2017;1;5;0;8.710827571
Pau 23;2018;1;5;0;8.710827571
Pau 23;2019;1;5;0;8.710827571
Pau 27;2017;0;9;0;6.168086614
Pau 27;2018;1;9;0;6.168086614
Pau 27;2019;0;9;0;6.168086614
Pau 32;2018;1;5;0;21.79268356
Pau 32;2019;1;5;0;21.79268356
Pau 33;2018;0;364;1;4.233997622
Pau 34;2018;0;17;0;22.74799101
Pau 34;2019;0;17;0;22.74799101
Pau 35;2018;1;9;1;28.01287739
Pau 35;2019;1;9;1;28.01287739
