id;temp;exito
Pau 01 ;2014;1
Pau 01 ;2016;0
Pau 04 ;2014;1
Pau 04;2016;0
Pau 04;2017;1
Pau 04;2018;0
Pau 04;2019;1
Pau 05 ;2014;1
Pau 05;2016;1
Pau 05;2018;0
Pau 05;2019;0
Pau 08;2014;1
Pau 08;2016;1
Pau 08;2018;1
Pau 08;2019;1
Pau 09;2014;1
Pau 09;2016;1
Pau 09;2017;1
Pau 09;2018;1
Pau 09;2019;1
Pau 09;2020;1
Pau 10;2014;1
Pau 10;2016;1
Pau 10;2017;1
Pau 10;2018;1
Pau 10;2019;1
Pau 11;2014;0
Pau 13;2014;0
Pau 13;2016;1
Pau 13;2017;0
Pau 13;2018;1
Pau 13;2019;1
Pau 13;2020;1
Pau 14;2014;0
Pau 14;2016;1
Pau 14;2017;0
Pau 14;2018;0
Pau 19;2014;1
Pau 20;2014;1
Pau 20;2016;1
Pau 20;2017;1
Pau 20;2019;1
Pau 22;2016;1
Pau 22;2017;1
Pau 22;2018;1
Pau 22;2019;1
Pau 22;2020;1
Pau 23;2016;1
Pau 23;2017;1
Pau 23;2018;0
Pau 23;2019;1
Pau 27;2016;1
Pau 27;2018;1
Pau 29;2017;1
Pau 32;2017;1
Pau 32;2018;1
Pau 33;2017;1
Pau 34;2017;1
Pau 35;2017;1
Pau 35;2018;1
Pau 37;2019;0
